PAIS,CONTINENTE,EXP_TOTAL,IMP_TOTAL,BALANCE_PROM,EXP_PROM,IMP_PROM,TC_PROM,N_MESES,CLUSTER
Malasia,Asia,6203798000,185718977000,-455622281.7258883,15745680.203045685,471367961.92893404,12.95999035532995,394,3
Malawi,África,7289000,75292000,-172596.4467005076,18500.0,191096.4467005076,12.95999035532995,394,0
Maldivas,Asia,3317000,6170000,-7241.116751269035,8418.781725888324,15659.89847715736,12.95999035532995,394,0
Malta,Europa,116782000,3062393000,-7476170.050761421,296401.0152284264,7772571.065989847,12.95999035532995,394,0
Malí,África,44387000,192996000,-377180.20304568525,112657.36040609136,489837.56345177663,12.95999035532995,394,0
Marruecos,África,982647000,7532436000,-16623829.949238578,2494027.9187817257,19117857.868020304,12.95999035532995,394,0
Martinica,América del Norte,57429000,2949000,138274.11167512691,145758.88324873097,7484.771573604061,12.95999035532995,394,0
Mauricio,África,49838000,142529000,-235256.34517766497,126492.38578680203,361748.730964467,12.95999035532995,394,0
Mauritania,África,44531000,121514000,-195388.32487309646,113022.8426395939,308411.16751269036,12.95999035532995,394,0
Micronesia,Oceanía,8264000,31809000,-59758.88324873096,20974.619289340102,80733.50253807107,12.95999035532995,394,0
Moldavia,Europa,13108000,28146000,-38167.51269035533,33269.03553299492,71436.54822335026,12.95999035532995,394,0
Mongolia,Asia,36961000,105769000,-174639.59390862944,93809.64467005077,268449.2385786802,12.95999035532995,394,0
Montenegro,Europa,6339000,5913000,1081.218274111675,16088.832487309644,15007.614213197969,12.95999035532995,394,0
Montserrat,América del Norte,745000,16913000,-41035.53299492386,1890.8629441624366,42926.395939086295,12.95999035532995,394,0
Mozambique,África,74077000,217436000,-363855.32994923857,188012.69035532995,551868.0203045686,12.95999035532995,394,0
Mónaco,Europa,57463000,117370000,-152048.2233502538,145845.17766497462,297893.4010152284,12.95999035532995,394,0
Namibia,África,81906000,1413329000,-3379246.192893401,207883.24873096446,3587129.4416243653,12.95999035532995,394,0
Nauru,Oceanía,26000,58416000,-148197.96954314722,65.98984771573605,148263.95939086293,12.95999035532995,394,0
Nepal,Asia,6204000,50606000,-112695.43147208123,15746.192893401016,128441.62436548223,12.95999035532995,394,0
Nicaragua,América del Norte,16275557000,10210184000,15394347.71573604,41308520.30456853,25914172.588832486,12.95999035532995,394,0
Nigeria,África,990611000,4224295000,-8207319.796954315,2514241.116751269,10721560.913705584,12.95999035532995,394,0
Niue,Oceanía,1396000,4378000,-7568.527918781726,3543.1472081218276,11111.675126903554,12.95999035532995,394,0
Noruega,Europa,1419635000,5537174000,-10450606.598984772,3603134.5177664976,14053741.116751269,12.95999035532995,394,0
Nueva Caledonia,Oceanía,14802000,9679000,13002.53807106599,37568.52791878173,24565.989847715737,12.95999035532995,394,0
Nueva Zelandia,Oceanía,2341755000,10154759000,-19829959.390862945,5943540.609137055,25773500.0,12.95999035532995,394,0
Níger,África,21795000,24580000,-7068.527918781726,55317.25888324873,62385.78680203046,12.95999035532995,394,0
Omán,Asia,384587000,852410000,-1187368.0203045686,976109.1370558375,2163477.157360406,12.95999035532995,394,0
Pakistán,Asia,971100000,4486065000,-8921230.964467006,2464720.8121827412,11385951.776649747,12.95999035532995,394,0
Palau,Oceanía,454000,4997000,-11530.456852791878,1152.284263959391,12682.74111675127,12.95999035532995,394,0
Palestina,Asia,464000,186000,705.5837563451777,1177.6649746192893,472.0812182741117,12.95999035532995,394,0
Panamá,América del Norte,24311583000,2061866000,56471362.944162436,61704525.38071066,5233162.436548224,12.95999035532995,394,0
Papua Nueva Guinea,Oceanía,32656000,74438000,-106045.68527918782,82883.24873096446,188928.9340101523,12.95999035532995,394,0
